filing_id,amendment_id,line_item,payee_last_name,payee_first_name,payee_full_name,amount,expense_description,expense_date,transaction_id,form_type,is_alameda
1398149,0,84,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,76,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,77,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
2097574,0,16,High Score,,High Score,496.0,Activities at NCPA member Alameda Municipal Power customer High Score,2016-07-13,nan,F635P3C,True
1589028,0,13,Oakland George P Scotlan Memorial Convention Center,,Oakland George P Scotlan Memorial Convention Center,5000.0,Tickets to Alameda County Youth Development,2011-03-24,nan,F635P3C,True
1845384,0,1,SILVERADO STAGES,,SILVERADO STAGES,934.46,Alameda Health Systems' Site Visit Transportation,2014-03-06,nan,F635P3C,True
1845384,0,1,SILVERADO STAGES,,SILVERADO STAGES,934.46,Alameda Health Systems' Site Visit Transportation,2014-03-06,nan,F635P3C,True
2097574,0,7,USS Hornet Museum,,USS Hornet Museum,923.8,Tour and Lunch at the USS Hornet Museum (Alameda Municipal Power key customer),2016-07-14,nan,F635P3C,True
1503416,2,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
1503416,3,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
2097574,0,15,First American Transit,,First American Transit,135.16,Transportation from Alameda to hotel,2016-07-13,nan,F635P3C,True
1398149,0,76,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,84,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,87,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,72,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,78,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,78,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,90,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1589028,0,13,Oakland George P Scotlan Memorial Convention Center,,Oakland George P Scotlan Memorial Convention Center,5000.0,Tickets to Alameda County Youth Development,2011-03-24,nan,F635P3C,True
2097574,0,22,Uber,,Uber,15.19,Transportation from Alameda to hotel ,2016-07-13,nan,F635P3C,True
2097574,0,22,Uber,,Uber,15.19,Transportation from Alameda to hotel ,2016-07-13,nan,F635P3C,True
2097574,0,22,Uber,,Uber,15.19,Transportation from Alameda to hotel ,2016-07-13,nan,F635P3C,True
1872533,0,13,ALAMEDA COUNTY MEALS ON WHEELS,,ALAMEDA COUNTY MEALS ON WHEELS,750.0,EVENT TICKET,2014-06-07,nan,F635P3C,True
1503416,3,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
1503416,2,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
984937,0,1,Alameda Produce Market,,Alameda Produce Market,7.62,snack,2003-11-12,nan,F635P3C,True
2097574,0,15,First American Transit,,First American Transit,135.16,Transportation from Alameda to hotel,2016-07-13,nan,F635P3C,True
2097574,0,15,First American Transit,,First American Transit,135.16,Transportation from Alameda to hotel,2016-07-13,nan,F635P3C,True
1398149,0,86,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,92,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,74,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,88,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,78,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,74,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,76,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,86,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,71,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,90,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,86,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
2097574,0,16,High Score,,High Score,496.0,Activities at NCPA member Alameda Municipal Power customer High Score,2016-07-13,nan,F635P3C,True
2097574,0,7,USS Hornet Museum,,USS Hornet Museum,923.8,Tour and Lunch at the USS Hornet Museum (Alameda Municipal Power key customer),2016-07-14,nan,F635P3C,True
1503416,2,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
984937,0,1,Alameda Produce Market,,Alameda Produce Market,7.62,snack,2003-11-12,nan,F635P3C,True
984937,0,1,Alameda Produce Market,,Alameda Produce Market,7.62,snack,2003-11-12,nan,F635P3C,True
984937,0,1,Alameda Produce Market,,Alameda Produce Market,7.62,snack,2003-11-12,nan,F635P3C,True
2097574,0,15,First American Transit,,First American Transit,135.16,Transportation from Alameda to hotel,2016-07-13,nan,F635P3C,True
1398149,0,92,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,79,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,90,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,84,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,92,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,71,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,73,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,89,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,75,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,75,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,72,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,70,Grand Catering,,Grand Catering,2175.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,83,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,87,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,80,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,91,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
2097574,0,7,USS Hornet Museum,,USS Hornet Museum,923.8,Tour and Lunch at the USS Hornet Museum (Alameda Municipal Power key customer),2016-07-14,nan,F635P3C,True
1872533,0,13,ALAMEDA COUNTY MEALS ON WHEELS,,ALAMEDA COUNTY MEALS ON WHEELS,750.0,EVENT TICKET,2014-06-07,nan,F635P3C,True
1503416,2,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
1398149,0,85,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,70,Grand Catering,,Grand Catering,2175.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,85,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,90,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,81,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,85,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,73,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,79,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,76,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1845384,0,1,SILVERADO STAGES,,SILVERADO STAGES,934.46,Alameda Health Systems' Site Visit Transportation,2014-03-06,nan,F635P3C,True
2097574,0,7,USS Hornet Museum,,USS Hornet Museum,923.8,Tour and Lunch at the USS Hornet Museum (Alameda Municipal Power key customer),2016-07-14,nan,F635P3C,True
1872533,0,13,ALAMEDA COUNTY MEALS ON WHEELS,,ALAMEDA COUNTY MEALS ON WHEELS,750.0,EVENT TICKET,2014-06-07,nan,F635P3C,True
1503416,2,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
1503416,3,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
1398149,0,81,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,88,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,77,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,90,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,72,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,87,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,87,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,88,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,77,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,74,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,81,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,81,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
2097574,0,16,High Score,,High Score,496.0,Activities at NCPA member Alameda Municipal Power customer High Score,2016-07-13,nan,F635P3C,True
2097574,0,16,High Score,,High Score,496.0,Activities at NCPA member Alameda Municipal Power customer High Score,2016-07-13,nan,F635P3C,True
2097574,0,7,USS Hornet Museum,,USS Hornet Museum,923.8,Tour and Lunch at the USS Hornet Museum (Alameda Municipal Power key customer),2016-07-14,nan,F635P3C,True
2097574,0,22,Uber,,Uber,15.19,Transportation from Alameda to hotel ,2016-07-13,nan,F635P3C,True
1398149,0,74,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,85,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,80,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,71,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,77,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,71,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,73,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,76,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,83,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,72,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1589028,0,13,Oakland George P Scotlan Memorial Convention Center,,Oakland George P Scotlan Memorial Convention Center,5000.0,Tickets to Alameda County Youth Development,2011-03-24,nan,F635P3C,True
1845384,0,1,SILVERADO STAGES,,SILVERADO STAGES,934.46,Alameda Health Systems' Site Visit Transportation,2014-03-06,nan,F635P3C,True
2097574,0,22,Uber,,Uber,15.19,Transportation from Alameda to hotel ,2016-07-13,nan,F635P3C,True
1872533,0,13,ALAMEDA COUNTY MEALS ON WHEELS,,ALAMEDA COUNTY MEALS ON WHEELS,750.0,EVENT TICKET,2014-06-07,nan,F635P3C,True
1503416,2,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
1503416,3,1,Alameda County Meals on Wheels,,Alameda County Meals on Wheels,200.0,Dinner,2010-04-23,nan,F635P3C,True
1398149,0,73,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,91,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,91,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,84,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,91,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1398149,0,89,Grand Catering,,Grand Catering,0.0,Lunch with presentations by Alameda Power & Telecom and Federal Bureau of Reclamation.,2008-10-07,nan,F635P3C,True
1589028,0,13,Oakland George P Scotlan Memorial Convention Center,,Oakland George P Scotlan Memorial Convention Center,5000.0,Tickets to Alameda County Youth Development,2011-03-24,nan,F635P3C,True
1845384,0,1,SILVERADO STAGES,,SILVERADO STAGES,934.46,Alameda Health Systems' Site Visit Transportation,2014-03-06,nan,F635P3C,True
